"intBiotaAssociateID","intBiotaID","tintAssocType","intAssocBiotaID","vchrAssocBiotaText","vchrRelationForward","vchrRelationReverse","intRefID","vchrRefPage","bitUncertain","txtNotes","GUID"
"5","52157","0","60214","","has synonym","is a synonym of","","","False","","{471CF703-740F-4DB7-96AA-34B51569AAB5}"
"6","60214","0","52157","","is a synonym of","has synonym","","","False","","{7C8E34B5-2769-43CB-A694-58C90120652B}"
"7","52157","0","60336","","has synonym","is a synonym of","","","False","","{9F033F3E-34B6-4494-B50B-AC060DBD7741}"
"8","60336","0","52157","","is a synonym of","has synonym","","","False","","{33B158A5-0257-4C3F-92E2-ADAD18C34371}"
"13","52166","0","67575","","has synonym","is a synonym of","","","False","","{623EA247-A941-4555-B495-8CC969EB7240}"
"14","67575","0","52166","","is a synonym of","has synonym","","","False","","{D5587257-0933-4008-89DA-FC34DACAA681}"
"15","52166","0","67580","","has synonym","is a synonym of","","","False","","{73E45E5B-7339-419C-A5E9-044A6834C757}"
"16","67580","0","52166","","is a synonym of","has synonym","","","False","","{9D60A7A9-6400-44A4-9180-6342303389F5}"
"21","52192","0","52234","","has synonym","is a synonym of","","","False","","{222B0EBA-4273-41B6-92A6-759E727C5D30}"
"22","52234","0","52192","","is a synonym of","has synonym","","","False","","{2A522091-B177-4DE7-A6CE-AE0A5F32F4AB}"
"30","52770","0","52355","","is a synonym of","has synonym","","","False","","{BAD3A1A9-470C-4913-A4E5-24E5BAE75E52}"
"31","52451","0","52487","","has synonym","is a synonym of","","","False","","{9170FEE4-F0EB-419B-B88E-6C8B497127E1}"
"32","52487","0","52451","","is a synonym of","has synonym","","","False","","{F8C8FC94-A59D-499E-8E80-5EF3E55EFB98}"
"33","52502","0","82172","","has synonym","is a synonym of","","","False","","{7EF1DE0E-F857-42E5-B8CD-D7C7D5890F8E}"
"38","81274","0","52542","","is a synonym of","has synonym","","","False","","{05561FA5-3F8A-42D6-AB9A-7D280AA03190}"
"40","80355","0","52557","","is a synonym of","has synonym","","","False","","{F609FD78-755D-40F6-BAE9-2AE00FD58A62}"
"41","52605","0","76636","","has synonym","is a synonym of","","","False","","{8340703F-D3AB-4828-B4DA-852CC7ACB366}"
"46","58655","0","52672","","is a synonym of","has synonym","","","False","","{58D9B770-C8F9-48EB-A163-2297E6300482}"
"48","61042","0","52672","","is a synonym of","has synonym","","","False","","{C9271E71-B94C-4EF9-96CA-FD10E405590B}"
"50","61047","0","52672","","is a synonym of","has synonym","","","False","","{351EDBC4-6E13-4FE8-B058-CC55B7EF9F97}"
"55","52678","0","81790","","has synonym","is a synonym of","","","False","","{CD2171B1-E657-487B-86BA-BEA8182BFD72}"
"56","81790","0","52678","","is a synonym of","has synonym","","","False","","{448F003B-D7BA-4164-AFB8-35788DE33157}"
"57","52678","0","81791","","has synonym","is a synonym of","","","False","","{79F41A64-71BF-451F-A64B-70A0AEDD9690}"
"58","81791","0","52678","","is a synonym of","has synonym","","","False","","{8801E85E-BC9A-4ED3-85CB-D83353F44392}"
"63","52678","0","81796","","has synonym","is a synonym of","","","False","","{3E515ACE-D9D1-408F-AC0E-035F6D23B582}"
"64","81796","0","52678","","is a synonym of","has synonym","","","False","","{9AD9D339-E9BD-403A-BBFE-0C63C4B1F900}"
"65","52678","0","81798","","has synonym","is a synonym of","","","False","","{B9931CFB-F6F0-4350-A492-CFF340D0BEB5}"
"66","81798","0","52678","","is a synonym of","has synonym","","","False","","{25FA6CC2-AF20-4494-90D2-315CABED9032}"
"72","81801","0","52680","","is a synonym of","has synonym","","","False","","{C10F7BF2-CE67-4767-8B42-D67FAC87F634}"
"73","52680","0","81802","","has synonym","is a synonym of","","","False","","{2A101091-CF37-4DC9-A648-8F407D52BC0C}"
"74","81802","0","52680","","is a synonym of","has synonym","","","False","","{66B6C33A-27AA-487E-8C48-EDE2CBA9F038}"
"75","52680","0","81803","","has synonym","is a synonym of","","","False","","{A79242B2-BEEF-4B07-803E-EAE36C59F617}"
"80","81805","0","52680","","is a synonym of","has synonym","","","False","","{7A5BBCDC-F1E8-4928-98D6-CE0636F344C1}"
"81","52680","0","81806","","has synonym","is a synonym of","","","False","","{62E4263C-762A-44B0-A6E6-27C583498520}"
"82","81806","0","52680","","is a synonym of","has synonym","","","False","","{E34D932F-B8A0-4468-BDD7-DB452E44DB2B}"
"83","52681","0","69315","","has synonym","is a synonym of","","","False","","{CC3C7605-BC33-49AF-85B1-497739C6FB19}"
