"intCommonNameID","intBiotaID","vchrCommonName","intRefID","vchrRefPage","txtNotes","GUID"
"27061","68828","<New1>","0","","{the reference for this species is the January 1910 issue of the journal, but it was mailed on 30th December 1909 according to Evenhuis's catalogue
\par }","{C3C29E39-36DA-44B9-8BC3-348018DB8C5C}"
"27062","76113","<New1>","0","","{originally in the database as a syn of dentatum. I cannot confirm this although the new version of beetles of US will clarify this, so have considered separate at least for the moment - grb
\par }","{60BB6C26-8686-4AD9-AA5B-7744F00EB0AD}"
"27064","73120","<New1>","0","","{described from the gall only and probably M. destructor according to Gagne 1956 - GRB
\par }","{9F22B18C-BFB0-4280-B665-5DB88AB20434}"
"27065","69433","<New1>","0","","this subgenus is not used by White and Hancock 1997 (CABIKEY) with the species listed in the TT placed in a variety of subgenera - GRB Apr 2004","{0731B873-2CD4-4904-A19E-7C85D1362B0C}"
"27459","113538","<New1>","0","","Catalog of Fishes (website)","{32619B12-B9B0-446C-8720-283336C44413}"
"27468","113586","African foxglove","0","","","{8A4A67AF-B8D0-4A18-B8CB-B46C49C15E67}"
"37","52105","BLACK MOULD","","","","{8886717E-FE1E-488C-810C-FBB694A94009}"
"27477","113646","<New1>","0","","Walker, F (1870). Catalogue of the specimens of Dermaptera Saltatoria in the Collection of the British Museum. Part III. London: British Museum pp. 425-604. (571). ","{2829F3FE-05AF-445B-8A57-4ECDEF83270F}"
"27073","103626","<New1>","0","","{Passandra Dalman, 1817 is a manuscript name according to Neave - GRB 2004
\par }","{F1261131-FEEF-4D6E-8233-058F7B524888}"
"27088","82131","<New1>","0","","{I cannot confirm Cernuella aginnica as a synonym. The internet considers C. aginnica as a valid species - GRB July 2004
\par }","{389591EE-7950-4858-9286-FD9A4260171B}"
"17802","81633","CALIFORNIAN SCALE","","","","{3E46EB76-856C-43EB-994D-4EE7AD150298}"
"17807","81634","RED SCALE","","","","{613BD8E6-6D1E-4814-8A78-28E01506D568}"
"17808","81635","CALIFORNIAN RED SCALE","","","","{2281D3E7-15B7-45A8-844A-76AE3654D2B7}"
"17809","81635","ORANGE SCALE","","","","{007FF2A1-3DA3-46C0-BB8B-CCB59BC8DEB8}"
"17810","81635","RED SCALE","","","","{4103AE93-27DF-4643-82D9-D6094D66B70A}"
"17824","81640","DATE PALM BOSTRICHID","","","","{B2CB28B3-F8A5-4944-9152-736526A4407C}"
"17825","81640","TWIG BORER","","","","{EC6C6214-E548-4DD4-B63F-F122E6AE578E}"
"17826","81641","BLACK BORER","","","","{B5E8FD08-B049-40B5-AEE7-59E3C71F3D58}"
"17827","81641","DATE PALM BOSTRICHIDAE","","","","{B960F56F-0C78-4FED-8AA9-482CBB8DE765}"
"17832","81643","BLACK BORER","","","","{0A3F8B8A-607E-4768-83B9-0B70A628886F}"
"17833","81643","DATE PALM BOSTRICHID","","","","{3C3E3AE6-A71E-436F-A52B-B7973406F723}"
"17834","81643","TWIG BORER","","","","{B6910C09-1B87-40F9-9F43-263F1B44473D}"
"17835","81644","LONGICORN BEETLE","","","","{5C77329E-2675-4CBA-9CF7-6078572B4F48}"
"17851","81665","DOMESTIC PIGEON","","","","{D5DEE4B5-ABD5-4712-A4A1-D43B5935D5AF}"
"17852","81665","FERAL PIGEON","","","","{4A4A4309-F9E9-4368-8830-CE23A6C74E55}"
"17858","81726","RED-BACKED JUMPING SPIDER","","","","{CD218A10-14CD-4394-A5F2-E70A3004BF27}"
"17859","81727","ORB-WEAVING SPIDER","","","","{01B8BA9A-759E-406B-BC5F-703EBEB4F18B}"
"17868","81744","BLACK BEAN APHID","","","","{4865AF5C-88B4-4E04-8D36-9D345C5DDC67}"
"17869","81744","BLACK FLY","","","","{3D57B003-21FA-41F5-8BD7-11B8122D4791}"
"17882","81751","BLACK BEAN APHID","","","","{45D6DF8C-4074-4F47-9551-452FC0D9DD00}"
"17883","81751","BLACK FLY","","","","{BAE6F5BB-2B2E-48E0-87DF-F4C9802520D5}"
"17884","81752","BLACK BEAN APHID","","","","{937BB0FC-A288-4ED2-8812-387274605443}"
"17885","81752","BLACK FLY","","","","{7372E2BE-8975-481E-B74C-5C845797AC66}"
"17894","81757","COTTON APHID","","","","{1DCB4C33-A7C7-44A1-A258-EEEF77836CA3}"
"17899","81759","MELON APHID","","","","{1C1FB14E-1F51-4B42-9FD9-5A2CC1D35923}"
"17900","81760","COTTON APHID","","","","{CBC3BB8E-3D41-4BAF-BAA1-EB51CD9568F3}"
"17901","81760","MELON APHID","","","","{FC5EAAD0-7719-45E8-861A-7E2DD81BDB2C}"
"17902","81761","COTTON APHID","","","","{E0A98749-8B45-4BA4-B146-D644CEC72331}"
"17916","81769","COTTON APHID","","","","{A2AB0AB0-F311-4CA3-BCE8-390808FD776D}"
"17917","81769","MELON APHID","","","","{AB6E6D6D-1FA5-4270-9D19-19C0520D7589}"
"17926","81775","GREEN CITRUS APHID","","","","{8403AE0F-4300-4F53-9548-F12516624A9F}"
"17927","81775","SPIRAEA APHID","","","","{D8C8267E-6AD7-44F6-A792-AF9E1A921788}"
"17941","81782","SWEET PEPPER APHID","","","","{2C75F7EE-CE23-4911-BC0C-6BAE6E8E9B83}"
"17942","81783","AUCUBA SCALE","","","","{CD09B881-1ED8-4A96-B4DA-AACEA1F667CC}"
"17943","81783","IVY SCALE","","","","{3267FC96-B983-4F0C-9BF7-A1A58DC98D83}"
"17944","81783","OLEANDER SCALE","","","","{1F451733-3685-4B4A-84B7-AAB909C00A4D}"
"18767","82250","GREENHOUSE WHITEFLY","","","","{5174BD51-E869-435D-B7F9-F1DDBE620F1E}"
"18772","82254","GLASSHOUSE WHITEFLY","","","","{EE0D54CB-0312-4008-9C63-52E75053F395}"
"18773","82254","GREENHOUSE WHITEFLY","","","","{D8C91130-1B24-4A10-859E-A04CCD852C8D}"
"18783","82259","MITE","","","","{3F8EE404-18F6-4A64-B3CA-9B85F05A0026}"
"18784","82261","MITE","","","","{E813E85B-F34F-415F-BC81-9DE8A3711284}"
"18791","82285","INTERTIDAL SNAIL","","","","{A5A72785-1A92-4DC9-8066-0FE4EDC394AE}"
"18792","82285","UNDULATE PERIWINKLE","","","","{C54281E1-DC8E-49C0-8056-8CD6BC16078F}"
"18797","82295","BLOWNGRASS","","","","{78D35A39-C281-453A-98C7-71C55D8864A5}"
"18798","70645","FLOWERING MAPLE","","","","{5F5D5C2D-321A-49F4-879E-C3627A4FF88A}"
"18799","70645","INDIAN MALLOW","","","","{C0CD2E19-1F76-4B09-B3B2-99CCCEF47E41}"
"18800","70645","PARLOUR MAPLE","","","","{581DC022-0D5D-4A2E-BD03-EC166A80ED58}"
"18806","82302","BASTARD PECACUANHA","","","","{76919D8E-7047-403B-B774-15D49B5F5359}"
"18807","82302","BLOODFLOWER","","","","{1A0BB4FB-4B9E-416E-A63F-4437375A23BE}"
"18808","82302","BUTTERFLY WEED","","","","{9AD526CB-649D-4BEB-97C8-61AF530C8BC7}"
"18809","82302","INDIAN ROOT","","","","{AA27DF73-37D7-4479-A057-8A9615F9AB19}"
"18814","66602","DOG GRASS","","","","{5C1CC3AF-BE73-4192-93A2-EDBB139346BB}"
"18815","66602","WHEATGRASS","","","","{D4460969-06A1-4169-82EC-1933212D9C38}"
"18822","82318","ALMOND","","","","{28E605B3-B3CE-4D6E-9652-5FC3F231CB81}"
"18823","93882","ALOE","","","","{93327626-271A-4D7B-B43D-2EE197AF7EE6}"
"18824","66618","AMARANTH","","","","{8B9E2386-093E-4FCC-8AFE-677A06827089}"
"18848","66668","MUGWORT","","","","{E40ADD0F-8394-4E45-8FDD-6E880F618C7A}"
"18849","66668","SAGEBRUSH","","","","{5B896855-F508-428D-8042-F662198ADAF7}"
"18850","66668","WORMWOOD","","","","{23494D93-5B70-41EF-AB10-6C9C3FAA8639}"
"18865","82360","AMARANTE VERTE","","","","{16545336-FC19-4EB4-903A-3F57A1D47469}"
"18866","82360","BLEDO","","","","{4D83F96D-45EF-4718-8EFC-3CE75519A6AD}"
"18867","82360","CARARU","","","","{9BBD3008-9620-40EA-BA3D-8ADAEAA5EB3B}"
"18872","100778","AGUACATE","","","","{0AB20CD5-EF7B-4CC0-8147-11F2E4D27953}"
"18873","100778","ALLIGATOR PEAR","","","","{7A6BFF2F-AF88-497C-B872-ABD74DAA96A8}"
"18874","100778","AVOCADO","","","","{464FB4B6-5144-4888-8076-BE705F396F3D}"
