intBiotaAssociateID,intBiotaID,tintAssocType,intAssocBiotaID,vchrAssocBiotaText,vchrRelationForward,vchrRelationReverse,intRefID,vchrRefPage,bitUncertain,txtNotes,GUID
51D0A102-22E1-4FFA-A577-77B9283D7D8A,43672113-558f-4180-8392-795efdc4c816,0,77759e26-67dc-433c-878e-150d63868e68,,has synonym,is a synonym of,,,FALSE,,ACB7679A-14E1-4B8D-A5FC-ECA819F9E661
70F5AB94-1383-4867-9DA9-689B5EE6B72A,43672113-558f-4180-8392-795efdc4c816,0,567ad929-52f5-4977-960e-91e7362050d1,,has synonym,is a synonym of,,,FALSE,,545D7922-7A33-424F-92E8-FA0ED48AB4ED
B0733A41-A8EE-4F5C-94FE-2176D57C7F4D,43672113-558f-4180-8392-795efdc4c816,0,75bc908b-85dc-444a-b0db-01d11bfe9291,,has synonym,is a synonym of,,,FALSE,,66BBD560-E8E7-4ADE-B7B7-8537D2362842
E25AF60A-6DCB-45D2-B7D5-D1FA989281F9,43672113-558f-4180-8392-795efdc4c816,0,16165ff8-512d-453c-9f7f-e396c0a74d1d,,has synonym,is a synonym of,,,FALSE,,7FB921B7-CB65-41F0-8146-8476F7C3F5CF
ABE52935-6153-4DA4-A8BA-347F8224F9A2,43672113-558f-4180-8392-795efdc4c816,0,fec96b92-45c9-4d1e-b349-8e4063f0955f,,has synonym,is a synonym of,,,FALSE,,D68BE3C3-29BD-45CA-A2F7-0BFCA301A238
34806765-D91D-4EC4-9FF5-5E404E385CAF,43672113-558f-4180-8392-795efdc4c816,0,b9d67188-1745-428d-b75e-517998b98bee,,has synonym,is a synonym of,,,FALSE,,7877C02E-D028-40AA-B595-81F7A393F49A
97E3950A-2474-47E2-A8F6-F5D15B891F45,43672113-558f-4180-8392-795efdc4c816,0,def00f8c-7d3a-4c0b-acf7-70c64e1c737c,,has synonym,is a synonym of,,,FALSE,,1656645A-50C1-4E49-8DAD-018C71298188
4BA1F9A9-40CA-48A8-AC02-1F5C1B46446B,43672113-558f-4180-8392-795efdc4c816,0,b755069a-b38a-4912-97f2-afa3b90e4746,,has synonym,is a synonym of,,,FALSE,,F915B113-83A1-4CE9-A060-C35D16AA7FBC
58F4BB38-9CDD-4E83-A232-72361C95393A,43672113-558f-4180-8392-795efdc4c816,0,8f4c4041-78ef-49ff-8e79-b21eaae75043,,has synonym,is a synonym of,,,FALSE,,CCC2EB17-73B0-4F1D-944C-47273F9FC601
99EFDF7B-2B61-4AAB-AD85-0CA4BF7B9999,43672113-558f-4180-8392-795efdc4c816,0,d1a3c0e8-2a00-47a4-886d-b5612d754a0a,,has synonym,is a synonym of,,,FALSE,,07615199-809E-4DF9-A7CA-18F10035BB46
