intBiotaAssociateID,intBiotaID,tintAssocType,intAssocBiotaID,vchrAssocBiotaText,vchrRelationForward,vchrRelationReverse,intRefID,vchrRefPage,bitUncertain,txtNotes,GUID
9000100,9000050,0,9000040,,has synonym,is a synonym of,,,FALSE,,{4EDF31DD-88CF-487F-BB75-91A32A24C1C6}
9000101,9000050,0,9000040,,has synonym,is a synonym of,,,FALSE,,{F2943B8B-B29B-4E37-ACE9-2AA2113F9482}
9000102,9000050,0,9000040,,has synonym,is a synonym of,,,FALSE,,{56E58BA3-812D-4AAF-8F31-C0A2A92F00A4}
9000103,9000050,0,9000040,,has synonym,is a synonym of,,,FALSE,,{9587EEF2-13F3-4FF3-BDFC-87E65E3F98B7}
9000104,9000050,0,9000040,,has synonym,is a synonym of,,,FALSE,,{2FAD4659-F7A7-4E73-84EF-82D2784F2D58}
9000105,9000050,0,9000040,,has synonym,is a synonym of,,,FALSE,,{EB121909-844D-43FB-891B-4246E4195659}
9000106,9000050,0,9000040,,has synonym,is a synonym of,,,FALSE,,{0A35D6A0-6AEA-4EFA-94A6-BA6350AA75A1}
9000107,9000050,0,9000040,,has synonym,is a synonym of,,,FALSE,,{C36F62BB-96D2-4536-8A7C-13921CEBC524}
9000108,9000050,0,9000040,,has synonym,is a synonym of,,,FALSE,,{C4EDA883-2495-437A-B31A-2112D51F4B2A}
9000109,9000050,0,9000040,,has synonym,is a synonym of,,,FALSE,,{FE1A885E-6371-47A1-B135-4C4D7D0500B3}
9000110,9000040,0,9000050,,is a synonym of,has synonym,,,FALSE,,{4FA5160A-F5CB-4018-8BC5-58A7EE9E68D1}
9000111,9000040,0,9000050,,is a synonym of,has synonym,,,FALSE,,{99C31D25-88AC-4D48-BE24-5CB1B9C52E38}
9000112,9000040,0,9000050,,is a synonym of,has synonym,,,FALSE,,{1A46DC14-2D6A-4B3E-A912-D31373584077}
9000113,9000040,0,9000050,,is a synonym of,has synonym,,,FALSE,,{6CF3DC50-EA0F-40DD-ABA1-0F66D1D19C8A}
9000114,9000040,0,9000050,,is a synonym of,has synonym,,,FALSE,,{9E8C1F30-2ED9-41A6-AAAA-6EE79CF4712A}
9000115,9000040,0,9000050,,is a synonym of,has synonym,,,FALSE,,{963312C2-8276-40EE-8371-B270CF599FF7}
9000116,9000040,0,9000050,,is a synonym of,has synonym,,,FALSE,,{A14E3C51-14BE-46DD-848F-B804E7D9D6AC}
9000117,9000040,0,9000050,,is a synonym of,has synonym,,,FALSE,,{4634A426-9CD8-45BC-BC24-EC75C0F2350D}
9000118,9000040,0,9000050,,is a synonym of,has synonym,,,FALSE,,{5033D7BD-686E-4505-9EBA-6E6666928542}
9000119,9000040,0,9000050,,is a synonym of,has synonym,,,FALSE,,{FEE6C557-F75A-422B-A91C-BD5C5341DAB8}
9000120,9000041,0,9000051,,is a synonym of,has synonym,,,FALSE,,{547A671F-739C-4D86-9E48-34E59678D3A5}
9000121,9000042,0,9000052,,is a synonym of,has synonym,,,FALSE,,{5AB56CC6-C1C4-4598-985E-CF3EDB5BB631}
9000122,9000043,0,9000053,,is a synonym of,has synonym,,,FALSE,,{536C3B46-FD0B-4E83-834D-9B391BCD1D09}
9000123,9000044,0,9000054,,is a synonym of,has synonym,,,FALSE,,{6924FA05-6335-4FE7-B343-7A50764EF590}
9000124,9000045,0,9000055,,is a synonym of,has synonym,,,FALSE,,{17C75BA4-6C3E-4FC9-A60C-1423AB52C45C}
9000125,9000046,0,9000056,,is a synonym of,has synonym,,,FALSE,,{353595B0-0D06-4161-851C-14E1140BE28A}
9000126,9000047,0,9000057,,is a synonym of,has synonym,,,FALSE,,{6E152A8B-71CC-45D0-9B22-534AD967FF61}
9000127,9000048,0,9000058,,is a synonym of,has synonym,,,FALSE,,{0E2B0CE1-89FC-49D9-AE8A-0C3047F8A53F}
9000128,9000049,0,9000059,,is a synonym of,has synonym,,,FALSE,,{15F14C3C-8BC5-46F5-9570-5018AD0D7CE3}
9000129,9000051,0,9000041,,has synonym,is a synonym of,,,FALSE,,{9628B627-9E4B-41E0-9CE0-0976D6297FEC}
9000130,9000052,0,9000042,,has synonym,is a synonym of,,,FALSE,,{87B14A07-FD88-4300-9644-E6784283C6A7}
9000131,9000053,0,9000043,,has synonym,is a synonym of,,,FALSE,,{DC60A24B-8C64-4CA6-A7C0-6D0FACCE115E}
9000132,9000054,0,9000044,,has synonym,is a synonym of,,,FALSE,,{352CEBEA-9008-44CC-8D28-24C221D046B0}
9000133,9000055,0,9000045,,has synonym,is a synonym of,,,FALSE,,{6E87649E-4736-400B-BB5C-E9C025543A13}
9000134,9000056,0,9000046,,has synonym,is a synonym of,,,FALSE,,{25C1301F-5083-45D4-B29A-70EDDDD04F2E}
9000135,9000057,0,9000047,,has synonym,is a synonym of,,,FALSE,,{8A200409-E3E2-49FF-B2F6-379F4F6CB433}
9000136,9000058,0,9000048,,has synonym,is a synonym of,,,FALSE,,{4ADE4089-F05D-49FE-A75B-8ACE73BBDA67}
9000137,9000059,0,9000049,,has synonym,is a synonym of,,,FALSE,,{A960C9B2-C86E-4799-A65F-77380AD158A7}
