intBiotaID,intParentID,vchrEpithet,vchrFullName,vchrYearOfPub,vchrAuthor,vchrNameQualifier,chrElemType,vchrRank,chrKingdomCode,intOrder,vchrParentage,bitChangedComb,bitShadowed,bitUnplaced,bitUnverified,bitAvailableName,bitLiteratureName,dtDateCreated,vchrWhoCreated,dtDateLastUpdated,vchrWhoLastUpdated,txtDistQual,GUID
9000000,8999999,Animalia,Animalia,,,,KING,,A,0,\0\8999999\9000000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,17/03/2009,,,{445CA851-081B-463D-904E-F389F646956E}
9000001,9000000,Mollusca,Mollusca,,,,P,,A,0,\0\8999999\9000000\9000001,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,17/03/2009,,,{B292951D-B211-44D1-9E6C-3C749E21FC1C}
9000002,9000001,Gastropoda,Gastropoda,,"Cuvier, 1795",,C,,A,0,\0\8999999\9000000\9000001\9000002,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,15/04/2018,,,{48611D21-2811-45FD-B8AB-21B229AFAF74}
9000003,9000002,Heterobranchia,Heterobranchia,,"Burmeister, 1837",,SBC,,A,0,\0\8999999\9000000\9000001\9000002\9000003,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,1/02/2018,,,{D5E9F7D8-BEA1-44F6-BFDF-575E59B5D0C3}
9000004,9000003,Euthyneura,Euthyneura,,,,INC,,A,0,\0\8999999\9000000\9000001\9000002\9000003\9000004,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,1/02/2018,,,{36DF76F6-5F3D-481D-854A-07D2DD317241}
9000005,9000004,Tectipleura,Tectipleura,,,,STC,,A,0,\0\8999999\9000000\9000001\9000002\9000003\9000004\9000005,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,28/06/2019,,,{5B5BF8EE-E4DD-4C90-A0E0-8354E16C4D6F}
9000006,9000005,Eupulmonata,Eupulmonata,,"Haszprunar & Huber, 1990",,SPO,,A,0,\0\8999999\9000000\9000001\9000002\9000003\9000004\9000005\9000006,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,1/02/2018,,,{26E2E2A7-27E6-41F8-8602-C3AC80042286}
9000007,9000006,Stylommatophora,Stylommatophora,,"A. Schmidt, 1855",,O,,A,0,\0\8999999\9000000\9000001\9000002\9000003\9000004\9000005\9000006\9000007,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,24/05/2019,,,{C4437B8F-A700-4F46-9AE1-6F4837098C9F}
9000008,9000007,Helicina,Helicina,,"Rafinesque, 1815",,SBO,,A,0,\0\8999999\9000000\9000001\9000002\9000003\9000004\9000005\9000006\9000007\9000008,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,24/05/2019,,,{5EA76FE1-1F94-4A2E-B381-E482E5E4B1CD}
9000009,9000008,Helicoidei,Helicoidei,,,,INO                 ,,A,0,\0\8999999\9000000\9000001\9000002\9000003\9000004\9000005\9000006\9000007\9000008\9000009,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,3/02/2018,,,{3787EF59-5C13-4259-9149-1DEB0FB2C796}
9000010,9000009,Helicoidea,Helicoidea,,"Rafinesque, 1815",,SPF,,A,0,\0\8999999\9000000\9000001\9000002\9000003\9000004\9000005\9000006\9000007\9000008\9000009\9000010,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,25/08/2013,,,{6363497A-C1B9-4AF4-8E15-8C92B98790E4}
9000011,9000010,Helicidae,Helicidae,,"Rafinesque, 1815",,F,,A,0,\0\8999999\9000000\9000001\9000002\9000003\9000004\9000005\9000006\9000007\9000008\9000009\9000010\9000011,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,2/03/2016,,,{1DB5FD79-4A48-436D-A246-DAB0DF23246F}
9000012,9000011,Ariantinae,Ariantinae,,"Mörch, 1864",,SBF,,A,0,\0\8999999\9000000\9000001\9000002\9000003\9000004\9000005\9000006\9000007\9000008\9000009\9000010\9000011\9000012,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,12/01/2017,,,{5AFA10E6-C408-4DFA-AE33-D976B83ABD19}
9000014,9000011,Murellinae,Murellinae,,"P. Hesse, 1918",,SBF,,A,0,\0\8999999\9000000\9000001\9000002\9000003\9000004\9000005\9000006\9000007\9000008\9000009\9000010\9000011\9000014,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,1/03/2019,,,{2DFD6070-B7B6-4298-95BF-7E58ADE1FD04}
9000015,9000011,Nanhaispira,Nanhaispira,,"Yü & Zhang, 1982",,G,,A,0,\0\8999999\9000000\9000001\9000002\9000003\9000004\9000005\9000006\9000007\9000008\9000009\9000010\9000011\9000015,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,12/01/2017,,,{49DE6ECD-F2DD-490B-8F52-D87FEF4CDA43}
9000016,9000011,Helicinae,Helicinae,,"Rafinesque, 1815",,SBF,,A,0,\0\8999999\9000000\9000001\9000002\9000003\9000004\9000005\9000006\9000007\9000008\9000009\9000010\9000011\9000016,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,14/06/2017,,,{D200F675-106B-44A6-9B50-1827F4FE6D39}
9000017,9000016,Allognathini,Allognathini,,"Westerlund, 1903",,T,,A,0,\0\8999999\9000000\9000001\9000002\9000003\9000004\9000005\9000006\9000007\9000008\9000009\9000010\9000011\9000016\9000017,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,11/02/2020,,,{FA99F4B5-C906-4499-8BF6-5A99DF02622B}
9000018,9000016,Creneatachea,Creneatachea,,"Zilch, 1960",,G,,A,0,\0\8999999\9000000\9000001\9000002\9000003\9000004\9000005\9000006\9000007\9000008\9000009\9000010\9000011\9000016\9000018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,24/03/2021,,,{D1A4B19D-D505-4E25-9869-405BD9A56FB8}
9000019,9000016,Ereminini,Ereminini,,"D. T. Holyoak, G. A. Holyoak, Gómez Moliner & Checa, 2020",,T,,A,0,\0\8999999\9000000\9000001\9000002\9000003\9000004\9000005\9000006\9000007\9000008\9000009\9000010\9000011\9000016\9000019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,29/10/2017,,,{CC5BBA8A-BF62-4FAC-BA12-CB29C448CB3F}
9000020,9000016,Frechenia,Frechenia,,"Schlickum & Strauch, 1971",,G,,A,0,\0\8999999\9000000\9000001\9000002\9000003\9000004\9000005\9000006\9000007\9000008\9000009\9000010\9000011\9000016\9000020,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,14/06/2017,,,{263E7F7A-1946-4DE4-A981-55366B729BAE}
9000021,9000016,Helicini,Helicini,,"Rafinesque, 1815",,T,,A,0,\0\8999999\9000000\9000001\9000002\9000003\9000004\9000005\9000006\9000007\9000008\9000009\9000010\9000011\9000016\9000021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,21/03/2019,,,{E81B24CE-CC0C-4125-90D2-EC7F11B20FBE}
9000022,9000016,Megalotachea,Megalotachea,,"Pfeffer, 1930",,G,,A,0,\0\8999999\9000000\9000001\9000002\9000003\9000004\9000005\9000006\9000007\9000008\9000009\9000010\9000011\9000016\9000022,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,14/06/2017,,,{928DC60E-9358-4092-9485-9FD4FA6FD884}
9000023,9000016,Otalini,Otalini,,"G. Pfeffer, 1930",,T,,A,0,\0\8999999\9000000\9000001\9000002\9000003\9000004\9000005\9000006\9000007\9000008\9000009\9000010\9000011\9000016\9000023,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,12/01/2018,,,{100E5672-68F7-4339-88E7-7F4A4B7D35A6}
9000029,9000023,Cantareus,Cantareus,,"Risso, 1826",,G,,A,0,\0\8999999\9000000\9000001\9000002\9000003\9000004\9000005\9000006\9000007\9000008\9000009\9000010\9000011\9000016\9000023\9000029,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,13/12/2018,,,{870CF406-4884-4814-9D23-37D8AD0E5B8B}
9000030,9000023,Cornu,Cornu,,"Born, 1778",,G,,A,0,\0\8999999\9000000\9000001\9000002\9000003\9000004\9000005\9000006\9000007\9000008\9000009\9000010\9000011\9000016\9000023\9000030,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,9/04/2021,,,{CA2B7320-61C3-489D-8657-ACD571A4FCAE}
9000031,9000023,Eobania,Eobania,,"P. Hesse, 1913",,G,,A,0,\0\8999999\9000000\9000001\9000002\9000003\9000004\9000005\9000006\9000007\9000008\9000009\9000010\9000011\9000016\9000023\9000031,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,15/06/2017,,,{F5D4CEBF-D706-42C1-A018-B0CD03564D37}
9000039,9000031,Eobania constantina,Eobania constantina,,"(E. Forbes, 1838)",,SP,,A,0,\0\8999999\9000000\9000001\9000002\9000003\9000004\9000005\9000006\9000007\9000008\9000009\9000010\9000011\9000016\9000023\9000031\9000039,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,3/10/2020,,,{42ADA1A7-AA78-49D1-8BFB-0D67DD23463A}
9000040,9000031,Eobania magnilabiata,Eobania magnilabiata,,"(Sacco, 1884)",,SP,,A,0,\0\8999999\9000000\9000001\9000002\9000003\9000004\9000005\9000006\9000007\9000008\9000009\9000010\9000011\9000016\9000023\9000031\9000040,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,3/10/2020,,,{8B79BD00-22D0-4BF0-BBFF-BB25BB99838D}
9000041,9000031,Eobania vermicularia,Eobania vermicularia,,"(Michelotti, 1840)",,SP,,A,0,\0\8999999\9000000\9000001\9000002\9000003\9000004\9000005\9000006\9000007\9000008\9000009\9000010\9000011\9000016\9000023\9000031\9000041,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,3/10/2020,,,{A76EC0A5-62BB-45C0-843E-699764DB8D6C}
9000042,9000031,Eobania vermiculata,Eobania vermiculata,,"(O. F. Müller, 1774)",,SP,,A,0,\0\8999999\9000000\9000001\9000002\9000003\9000004\9000005\9000006\9000007\9000008\9000009\9000010\9000011\9000016\9000023\9000031\9000042,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,3/10/2020,,,{0B700C5F-635E-4F0C-8103-1FCF2BD9BD3B}
9000043,9000031,Eobania zilchi,Eobania zilchi,,"Moisescu, 1982",,SP,,A,0,\0\8999999\9000000\9000001\9000002\9000003\9000004\9000005\9000006\9000007\9000008\9000009\9000010\9000011\9000016\9000023\9000031\9000043,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,3/10/2020,,,{3CBCB6A1-A030-4925-95A7-764622A1593E}
9000032,9000023,Hessea,Hessea,,"C.R. Boettger, 1911",,G,,A,0,\0\8999999\9000000\9000001\9000002\9000003\9000004\9000005\9000006\9000007\9000008\9000009\9000010\9000011\9000016\9000023\9000032,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,23/08/2020,,,{863F7A57-43B6-416D-9BF7-CA579CE85BA1}
9000033,9000023,Idiomela,Idiomela,,"T. Cockerell, 1921",,G,,A,0,\0\8999999\9000000\9000001\9000002\9000003\9000004\9000005\9000006\9000007\9000008\9000009\9000010\9000011\9000016\9000023\9000033,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,3/10/2020,,,{31820969-DBAE-4210-B24F-2185A310E778}
9000034,9000023,Loxana,Loxana,,"Pallary, 1899",,G,,A,0,\0\8999999\9000000\9000001\9000002\9000003\9000004\9000005\9000006\9000007\9000008\9000009\9000010\9000011\9000016\9000023\9000034,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,3/10/2020,,,{212E2CD5-D175-4EA2-85B1-905B9A53A061}
9000035,9000023,Massylaea,Massylaea,,"Möllendorff, 1898",,G,,A,0,\0\8999999\9000000\9000001\9000002\9000003\9000004\9000005\9000006\9000007\9000008\9000009\9000010\9000011\9000016\9000023\9000035,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,15/09/2017,,,{BCFEF5B7-F083-4393-9940-90553E870C1D}
9000075,9000035,Massylaea constantina,Massylaea constantina,,,,SP,,A,0,\0\8999999\9000000\9000001\9000002\9000003\9000004\9000005\9000006\9000007\9000008\9000009\9000010\9000011\9000016\9000023\9000035\9000075,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,25/09/2021,,,{79BA1281-CE70-48F0-AB40-093F9A700F4F}
9000076,9000035,Massylaea vermiculata,Massylaea vermiculata,,,,SP,,A,0,\0\8999999\9000000\9000001\9000002\9000003\9000004\9000005\9000006\9000007\9000008\9000009\9000010\9000011\9000016\9000023\9000035\9000076,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,25/09/2021,,,{14CB626D-4E28-44C1-A63B-6BAE8D7F0A75}
9000036,9000023,Maurohelix,Maurohelix,,"P. Hesse, 1917",,G,,A,0,\0\8999999\9000000\9000001\9000002\9000003\9000004\9000005\9000006\9000007\9000008\9000009\9000010\9000011\9000016\9000023\9000036,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,3/01/2021,,,{BDE8F921-3260-4846-A89D-8FA40D1D83E1}
9000037,9000023,Otala,Otala,,"Schumacher, 1817",,G,,A,0,\0\8999999\9000000\9000001\9000002\9000003\9000004\9000005\9000006\9000007\9000008\9000009\9000010\9000011\9000016\9000023\9000037,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,14/06/2021,,,{992D84A0-49DE-4A60-A9DB-B01C9039EE59}
9000077,9000037,Otala vermiculata,Otala vermiculata,,,,SP,,A,0,\0\8999999\9000000\9000001\9000002\9000003\9000004\9000005\9000006\9000007\9000008\9000009\9000010\9000011\9000016\9000023\9000037\9000077,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,25/09/2021,,,{096EE8BB-F8D0-487E-8875-34A874EB3B94}
9000078,9000037,Otala vermiculata figarolae,Otala vermiculata figarolae,,,,SP,,A,0,\0\8999999\9000000\9000001\9000002\9000003\9000004\9000005\9000006\9000007\9000008\9000009\9000010\9000011\9000016\9000023\9000037\9000078,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,25/09/2021,,,{8323B6C2-9A08-4A25-A04C-475CB75C8833}
9000038,9000023,Rossmaessleria,Rossmaessleria,,"P. Hesse, 1907",,G,,A,0,\0\8999999\9000000\9000001\9000002\9000003\9000004\9000005\9000006\9000007\9000008\9000009\9000010\9000011\9000016\9000023\9000038,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,15/06/2017,,,{4B0F5F04-FAA8-420B-B17F-357512AB7587}
9000044,9000023,Helix,Helix,,"Pallary, 1899",,G,,A,0,\0\8999999\9000000\9000001\9000002\9000003\9000004\9000005\9000006\9000007\9000008\9000009\9000010\9000011\9000016\9000023\9000044,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,3/10/2020,,,{4A1EC00A-26C3-43D4-B3D3-37B84D4892B4}
9000046,9000044,Helix (Macularia) vermiculata,Helix (Macularia) vermiculata,,,,SP,,A,0,\0\8999999\9000000\9000001\9000002\9000003\9000004\9000005\9000006\9000007\9000008\9000009\9000010\9000011\9000016\9000023\9000044\9000046,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,25/09/2021,,,{04ADD9D0-A37B-4297-A590-114BF0D7461C}
9000047,9000044,Helix (Macularia) vermiculata var. conoidea,Helix (Macularia) vermiculata var. conoidea,,,,SP,,A,0,\0\8999999\9000000\9000001\9000002\9000003\9000004\9000005\9000006\9000007\9000008\9000009\9000010\9000011\9000016\9000023\9000044\9000047,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,25/09/2021,,,{A1742849-2EC2-456C-8C65-F8F90B443031}
9000048,9000044,Helix (Macularia) vermiculata var. depressa,Helix (Macularia) vermiculata var. depressa,,,,SP,,A,0,\0\8999999\9000000\9000001\9000002\9000003\9000004\9000005\9000006\9000007\9000008\9000009\9000010\9000011\9000016\9000023\9000044\9000048,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,25/09/2021,,,{06697BAC-F640-4DDC-95F8-DCB3C06F15C4}
