intBiotaID,intParentID,vchrEpithet,vchrFullName,vchrYearOfPub,vchrAuthor,vchrNameQualifier,chrElemType,vchrRank,chrKingdomCode,intOrder,vchrParentage,bitChangedComb,bitShadowed,bitUnplaced,bitUnverified,bitAvailableName,bitLiteratureName,dtDateCreated,vchrWhoCreated,dtDateLastUpdated,vchrWhoLastUpdated,txtDistQual,GUID
52779,101168,Algae,Algae,,,,SKING,,L ,0,\101168\52779,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,54:09.4,Migration,19:27.4,sa,,{63E0366F-9020-4D38-AF5C-F6B149AAE817}
52780,103685,Trentepohliaceae,Trentepohliaceae,,,,F    ,,L ,0,\101168\52779\103685\52780,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,54:09.4,Migration,26:55.8,Charles Hatcher,,{A62DBC43-8907-40EE-BA0E-8EEF29ED1699}
52781,52780,Cephaleuros,Cephaleuros,,,,G    ,,L ,0,\101168\52779\103685\52780\52781,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,54:09.4,Migration,19:27.4,sa,,{453A7530-5500-4B86-9756-658D8A7721D9}
52783,52785,parasiticus,parasiticus,,Karst.,,SP   ,,L ,0,\101168\52779\103685\52780\52781\52785\52783,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,54:09.4,Migration,19:27.4,sa,,{A545EDF1-B6D3-4F8C-A014-DD74D348B772}
52785,52781,virescens,Cephaleuros virescens Kunze,,Kunze,,SP   ,,L ,0,\101168\52779\103685\52780\52781\52785,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,54:09.4,Migration,19:27.4,sa,,{20E9302D-D0FD-42AA-A2DF-94B9D7B3CE8C}
98155,103685,Chlorophyceae,Chlorophyceae,,,,F    ,,L ,0,\101168\52779\103685\98155,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,54:09.4,Migration,26:55.3,Charles Hatcher,,{48A1E8C5-D208-457C-9C87-0692B53AC737}
98156,98155,Chara,Chara,,,,G    ,,L ,0,\101168\52779\103685\98155\98156,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,54:09.4,Migration,29:46.5,dbo,,{347BFAE7-4FBE-497C-A1CB-9A68EB93D6F6}
100826,98155,Cephaleuros,Cephaleuros,,,,G    ,,L ,0,\101168\52779\103685\98155\100826,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,54:09.4,Migration,31:25.1,Clayton Winter,,{12C02B80-C363-4475-96F2-AAE6A7156750}
101168,0,Algae,Algae,,,,KING ,,L ,0,\101168,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,29:18.1,AQIS_APPS\Kazi Masum,03:50.5,Ben Boyd,,{6B7943D3-7931-45B7-B289-F107803B9483}
103685,52779,Unplaced,Unplaced,,,,P    ,,L ,0,\101168\52779\103685,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,26:53.1,Charles Hatcher,26:53.2,Charles Hatcher,,{806463E1-86DF-4763-A0C7-D86C807C3BB5}
107011,111082,Cladophoraceae,Cladophoraceae,,,,F    ,,L ,0,\20\102341\111080\111081\111082\107011,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,34:28.6,NAQSTaxaTree,10:26.7,Ben Boyd,,{3D08818B-1334-4B68-A9C2-D4CD5E5FD65F}
