intCommonNameID,intBiotaID,vchrCommonName,intRefID,vchrRefPage,txtNotes,GUID,K
420,52783,RED CRUST,,,,{67AB6043-FAB3-4FC4-B050-AECA43541D35},L 
421,52783,RED RUST,,,,{0C18EC3E-E5D9-4558-B103-4005B85F6BF2},L 
422,52781,RED CRUST,,,,{083F3B5D-53C2-4130-80E3-019452896542},L 
423,52785,AGAL LEAF SPOT,,,,{8FC3D680-CB71-485F-A4AA-DA1A899CE6B6},L 
424,52785,ALGAL CANKER,,,,{AA861DB0-4E63-4CF0-B450-A1C3F73B4090},L 
425,52785,GREEN SCURF,,,,{B0A5FEF4-3541-473A-86D1-9E271313D2AB},L 
426,52785,RED CRUST,,,,{2309EE99-6561-4780-AF13-B964A7B730D6},L 
427,52785,RED DUST,,,,{866CAA9B-3956-4E0B-B36A-CDAF7E57DFAA},L 
428,52785,RED RUST,,,,{E8F0CA72-E2FB-4FBC-A58A-109E0A7372EE},L 
25286,52779,ALGAE,,,,{5457F884-5128-47CC-8429-A5FBAB465FF7},L 
27366,110113,Marimo,0,,,{7F4D2E93-A53E-478C-8EEB-409BF8BC8D80},L 
